Number,Date,Hare,Start,Notes,Kennel
121,2003-03-15,,Palm Springs,Betty Ford Hash In the Rain,OCH3
122,2003-03-20,Gerbil & Manisex Destiny,Forest Hill,,Gypsies
123,2003-03-21,Peniscillin,San Leandro,,FMH3
124,2003-03-24,Pinprick & Erection Overruled,Marina,,SFH3
125,2003-03-27,Tongueless & I.R. Stupid,Financial District,Black Dress,Gypsies
126,2003-03-30,Thumper & Sheep Style,Round Valley,,EBH3
127,2003-03-31,Motormount & Pussy Whistle,West Portal,,SFH3
128,2003-04-03,Rongjon,Corona Heights,AGM & 10th Anniversary,Gypsies
129,2003-04-05,Spouse & Rhoids,Redwood City,Red Dress,SVH3
130,2003-04-06,Danglin' Anglin,Petaluma,,Gypsies/Marin
0,2003-04-12,,,SF Beer Festival,
131,2003-04-13,DFlowered & Bananas,Garin Park,,EBH3
132,2003-04-17,Open Wide,Russian Hill,,Gypsies
133,2003-04-18,Morning Missile,Sunnyvale,,FMH3
134,2003-04-19,Apple Pie Ho & Penis Flytrap,Saratoga,,SVH3
135,2003-04-24,Mr. BoneJangles,Mission,,Gypsies
136,2003-04-27,Cupcake & Rev. Itchy,Mill Valley,,EBH3/Marin
137,2003-05-01,Splat,Haight,,Gypsies
138,2003-05-03,Accuprick & Menage,San Jose,,SVH3
139,2003-05-04,Banana Basher & Puff,Santa Cruz,,Monterey Bay H3
140,2003-05-05,No Hands,Haight,,SFH3
141,2003-05-08,Bigfoot & Gerbil,Stern Grove,,Gypsies
142,2003-05-09,Splat,Lake Merritt,,FMH3
143,2003-05-11,Sheep Style & Cupcake,Lafayette,,EBH3
144,2003-05-12,Handjob For Humanity & Blowfish,Haight/Mission,,SFH3
145,2003-05-15,Rongjon,Land's End,B2B Prelube,Gypsies
0,2003-05-16,,,B2B Pub Crawl,SFH3
146,2003-05-17,Accuprick & Morning Missile,Marina/North Beach,B2B,SVH3
0,2003-05-18,,,B2B & Other Wretched Excess,SFH3
147,2003-05-25,Excess & Peniscillin,Alamo/Las Trampas,,EBH3
148,2003-05-26,The Pattersons,North Beach,,SFH3
149,2003-05-29,Gerbil & Cock Exchange & MP2,South San Francisco,,Gypsies
0,2003-05-30,,,Whip It Out At The Ballgame,
150,2003-06-01,Escrowtum,Novato,,Marin H3
151,2003-06-02,Naked Hasher & Captain Cooter,North Beach,,SFH3
0,2003-06-06,,,Paula's Birthday Party,
152,2003-06-08,Fits In & Tongueless,Phoenix Lake,,EBH3
153,2003-06-13,Bigfoot & Manisex Destiny,Mission,Breathalyzer,FMH3
154,2003-06-18,,Yoyogi Uehara,,Tokyo Ladies H3
155,2003-06-23,Oral Roberts & OuiOui,South San Francisco,Bio-Hash,SFH3
0,2003-06-28,,South Lake Tahoe,,Iguanas H3
0,2003-07-03,,Chico,NorCal Prelube,
0,2003-07-05,,Manton,NorCal Campout,
156,2003-07-10,Dick Chick,Pacific Heights,,Gypsies
157,2003-07-11,Y.P.L.,Berkeley,,FMH3
158,2003-07-14,WeeWee & Gored Bush,Nob Hill,,SFH3
159,2003-07-17,Mr. BoneJangles & Cock Exchange,North Beach,,Gypsies
160,2003-07-19,Naked Hasher & Bitch's Bitch & Vegematic & Little Johnson & Das Poop,Point Richmond,,All Bay Hash
161,2003-07-20,Boulder Holder & Scrum Muffin & Panty Free & Spanks,Las Trampas,,EBH3
162,2003-07-21,Dildo et al.,Presidio,,SFH3
